DATA,HORARIO,PRATOPRINCIPAL,OVOS,VEGETARIANO,GUARNICAO,SALADA1,SALADA2,ARROZ,FEIJAO,SOBREMESA,SUCO
02/09,Almoço,Carne moida c/ cenoura,Fritos/Cozidos,Carne moida deSoja,Angú ao Sugo,Alface,Tomate,Simples/Integral,Tutu defeijão,Doce Pé deMoleque/Maçã,Mamão
03/09,Almoço,Bife Suíno Acebolado,Fritos/Cozidos,Grão Xadrez,Canjiquinha comtomate,Couve,BeterrabaRalada,Simples/Integral,Carioca,Salada deFrutas/Laranja,Limão
04/09,Almoço,Frango Caipira,Fritos/Cozidos,Bolinho deEspinafre,Macarronada,Mix de folhas,CenouraRalada,Simples/Integral,Preto,Doce deBananaCaramelado/Mamão,Melão c/hortelã
05/09,Almoço,Escondidinho de peixe,Fritos/Cozidos,Farofa de Triguilhoc/ passas,Chuchu refogado,Almeirão,Vinagrete,Simples/Integral,Carioca,Melancia,Abacaxi
06/09,Almoço,Filé de Frango Grelhado,Fritos/Cozidos,Quibe de bandeja,Parafuso aoSugo,Mix de folhas,Batata Doce,Simples/Integral,Preto,Melão,laranja
09/09,Almoço,Fígado Iscas,Fritos/Cozidos,Grão xadrez,Purê de Batata,Mix de folhas,Tomate,Simples/Integral,Carioca,Maça,Melancia c/Hortelã
10/09,Almoço,Carne de Panela,Fritos/Cozidos,Lentilha c/legumes,MandiocaEnsopada,Acelga,Chuchu,Simples/Integral,CariocaBatido,Pudim deChocolate/Salada de frutas,Limão
11/09,Almoço,Fricassê de Frango,Fritos/Cozidos,Fricassê de soja,"Palha francesa(repolho,cenoura, batata",Mix de folhas,Berinjela c/Óregano,Simples/Integral,Tutu defeijão,Doce deAbóbora /Laranja,Melão
12/09,Almoço,Cubos Suino,Fritos/Cozidos,Lentilha c/ Batata,palha)Macarrão aoAlho e Oleo,Alface,Cenoura Ralada,Simples/Integral,Preto,Banana,Laranja
13/09,Almoço,Filé de Frango a Milanesa,Fritos/Cozidos,Lasanha deabobrinha,Legumes Saute,Couve,BeterrabaCozida,Simples/Integral,vermelho,Gelatina deMorango/ Melão,Mamão
16/09,Almoço,Isca Bovina Acebolada,Fritos/Cozidos,Croquete dequinoa,Chuchu Tropeiro,Acelga,Tomate,Simples/Integral,Preto,Laranja,Melancia
17/09,Almoço,Filé de Frango Grelhado,Fritos/Cozidos,lentilhas comlegumes,Quibebe deAbóbora,Alface c/Laranja,Berinjela c/Óregano,Simples/Integral,Tutu defeijão,Bolo / mamão,laranja
18/09,Almoço,Bife Suino Acebolado,Fritos/Cozidos,Almondegas de Soja,Macarronada,Mostrada,Abobrinha,Simples/Integral,vermelho,Arroz Doce/Melancia,Mamão c/Laranja
19/09,Almoço,Frango Assado,Fritos/Cozidos,Hamburguer deabóbora c/ aveia elinhaça,MandiocaEnsopada,Almeirão,Chuchu,Simples/Integral,CariocaBatido,Laranja,Melão c/hortelã
20/09,Almoço,Strogonoff de frango,Fritos/Cozidos,Fricassê de soja,Creme de Milho,Mix de folhas,Cenoura c/passas,Simples/Integral,Preto,Paçoca/Banana,Limão
23/09,Almoço,Picadinho suino,Fritos/Cozidos,Croquete de feijãobranco,Chuchu Tropeiro,alface,BeterrabaRalada,Simples/Integral,vermelho,Doce deAbóbora/ Maçã,Maracuja
24/09,Almoço,Carne Moida A Primavera,Fritos/Cozidos,Hamburguer deabóbora c/ aveia elinhaça,Espaguete aoalho e óleo,Almeirão,Berinjela c/Óregano,Simples/Integral,Tutu defeijão,Mamão,laranja
25/09,Almoço,Frango Caipira,Fritos/Cozidos,Grão de bico c/legumes,Angú ao Sugo,Alface c/Mostarda,BeterrabaCozida,Simples/Integral,Carioca,Pudim deChocolate/Banana,Melão c/hortelã
26/09,Almoço,Feijoada,Fritos/Cozidos,Feijoada Vegana,Fafora dourada,Acelga,Tomate,Simples/Integral,Preto,Gelatina deLimão/ laranja,LImão
27/09,Almoço,Bife Suíno Acebolado,Fritos/Cozidos,Lentilha c/ batata,Repolho Búlgaro,Mix de folhas,CenouraRalada,Simples/Integral,Carioca,Pé de Moleque/Maçã,Melancia
30/09,Almoço,Fricassê de Frango,Fritos/Cozidos,Almondega degrão de bico aomolho,Legumes saute,Mix de Folhas,Tomate,Simples/Integral,carioca,Melancia,limão
01/10,Almoço,Carne Moida c/ Batata,Fritos/Cozidos,Croquete delentilha,Parafuso aoSugo,Alface c/Laranja,Pepino c/salsa,Simples/Integral,Tutu defeijão,Bolo/ Melão,Melancia
