DATA,HORARIO,PRATOPRINCIPAL,OVOS,VEGETARIANO,GUARNICAO,SALADA1,SALADA2,ARROZ,FEIJAO,SOBREMESA,SUCO
01/07,Almoço,Frango à Caipira,Fritos/Cozidos,Hamburguer de Abóbora c/Aveia,Creme de Milho,Couve,Tomate c/ Cebola,ArrozSimples/Integral,Carioca,Doce de Abóbora c/coco/ Laranja,Abacaxi c/Hortelã
01/07,Jantar,Carne Moída Com Milho e Ervilha,Fritos/Cozidos,Grão de Bico com Legumes,Espaguete Ao Alho eÓleo,Couve,Beterraba Ralada,simples/Integral,Carioca,Melancia,Abacaxi c/Hortelã
02/07,Almoço,Iscas de Frango acebolada,Fritos/Cozidos,Tropeiro de Grão de Bico,Abrobrinha Refogada,Mix de Folhas,Antepasto de Berinjela,ArrozSimples/Integral,Preto,Pé de Moleque/Mamão,Laranja
02/07,Jantar,Frango Assado,Fritos/Cozidos,Parmegiana de Berinjela,Angu ao Sugo,Mix de Folhas,Pepino com hortelã,simples/Integral,Preto,Bolo/ Maçã,Laranja
03/07,Almoço,Fricassê de Frango,Fritos/Cozidos,Assado de Soja,Cenoura Sautê,Couve,Beterraba c/ Abacaxi,ArrozSimples/Integral,Vermelho,Melão,Melancia
03/07,Jantar,Cubos Suíno à Brasê,Fritos/Cozidos,Feijoada Vegetariana,Farofa de Banana,Couve,Tomate,simples/Integral,Vermelho,Laranja,Melancia
04/07,Almoço,Peixe no Fubá,Fritos/Cozidos,Lasanha de berinjela,Pirão de Cenoura,Alface,Pepino c/ hortelã,ArrozSimples/Integral,Carioca,Pudim de Chocolate/Banana,Limão
04/07,Jantar,Carne de Panela,Fritos/Cozidos,Farofa de Triguilho com Passas,Quibebe de abóbora,Alface,Berinjela C/ Orégano,simples/Integral,Carioca,Melancia,Limão
05/07,Almoço,Coxa de Frango Crocante,Fritos/Cozidos,Hamburguer de abóbora e aveia,Legumes Sautê,Almeirão,Beterraba Cozida,ArrozSimples/Integral,CariocaBatido,Doce Fondante deLeite Tablete/Maçã,Mamão c/Laranja
05/07,Jantar,Bife suino Acebolado,Fritos/Cozidos,Croquete de Feijão Branco,Canjiquinha c/ Tomate,Almeirão,Cenoura Ralada,simples/Integral,CariocaBatido,Banana,Mamão c/Laranja
06/07,Almoço,Frango à Milanesa,Fritos/Cozidos,Carne Moída de Soja,Chuchu Refogado,Agriao,Cenoura c/ passas,simples/Integral,Preto,Melancia,Limão
08/07,Almoço,Cubos Mistos,Fritos/Cozidos,Ervilha c/ Feijão branco,Abobora Moranga aoalho,Alface,Antepasto de Berinjela,ArrozSimples/Integral,Vermelho,Gelatina deuva/Banana,Melão c/Limão
08/07,Jantar,Cubos bovino com Pimentão eCebola,Fritos/Cozidos,Lentilha com Legumes,Abobrinha Refogada,Alface,Beterraba Cozida,simples/Integral,Vermelho,Doce Tablete Pé deMoleque / Mamão,Melão c/Limão
09/07,Almoço,Feijoada,Fritos/Cozidos,Feijoada Vegetariana,Farofa Dourada,Couve,Vinagrete,ArrozSimples/Integral,Preto,Laranja,Abacaxi
09/07,Jantar,Frango Xadrez,Fritos/Cozidos,Xadrez de Legumes com Amendoime Quinoa,Canjiquinha c/ Tomate,Couve,Chuchu,simples/Integral,Preto,Melancia,Abacaxi
10/07,Almoço,Carne de Panela,Fritos/Cozidos,Cassoulet de Legumes,Repolho Búlgaro,Rucúla,Marroquina,ArrozSimples/Integral,CariocaBatido,Melancia,Laranja c/cenoura
10/07,Jantar,Peixe no Fubá,Fritos/Cozidos,Grãos Xadrez,Purê de Batata,Rucúla,Chuchu,simples/Integral,CariocaBatido,Gelatina de limão /Maçã,Laranja c/cenoura
11/07,Almoço,Carne moída C/ Cenoura,Fritos/Cozidos,Lasanha de Abobrinha,Espaguete Ao Alho eÓleo,Mix de Folhas,Pepino c/ Tomate,ArrozSimples/Integral,Carioca,Laranja,Melancia
11/07,Jantar,Lasanha de frango,Fritos/Cozidos,Bolinho de Espinafre comLinhaça e Quinoa,Repolho Refogado,Mix de Folhas,Berinjela C/ Orégano,simples/Integral,Carioca,Goiabada cremosa/Laranja,Melancia
12/07,Almoço,Bife suíno Acebolado,Fritos/Cozidos,Croquete de Lentilha,Farofa de Couve,Almeirão,Beterraba Cozida,ArrozSimples/Integral,Preto,Bolo/ Banana,Laranja
